K,case,Liver_Dice,Tumor_Dice,Avg_Dice
1,Liver_0079,0.932034273925876,0.8131446976801077,0.8725894858029919
1,Liver_0080,0.9443314481239192,0.8261814231395981,0.8852564356317587
1,Liver_0082,0.9626282241434833,0.8742593811718236,0.9184438026576534
1,Liver_0094,0.9625436228706655,0.794508255563532,0.8785259392170988
1,Liver_0097,0.9127839115101603,0.6988009978273115,0.8057924546687358
1,Liver_0099,0.9687310174102325,0.9123993089851605,0.9405651631976966
1,Liver_0100,0.9789049636073126,0.7643577175621936,0.8716313405847531
1,Liver_0101,0.9742505017363815,0.885426077412495,0.9298382895744383
1,Liver_0108,0.9133515094221861,0.32681863230921704,0.6200850708657015
1,Liver_0114,0.9613746403873417,0.5861628348410634,0.7737687376142025
1,Liver_0115,0.92717724446176,0.0,0.46358862223088
1,Liver_0127,0.9656776260952191,0.0,0.48283881304760956
1,Liver_0129,0.9664605841042945,0.6933443182486906,0.8299024511764925
1,Liver_0131,0.853614423398682,0.389150350360924,0.621382386879803
2,Liver_0001,0.9664178691061385,0.6884377758164166,0.8274278224612776
2,Liver_0027,0.9737248214068861,0.8544099514034961,0.9140673864051911
2,Liver_0029,0.9409346508402973,0.8657147425008493,0.9033246966705732
2,Liver_0031,0.9343488582583003,0.29049517871384034,0.6124220184860703
2,Liver_0054,0.9415776227148734,0.5161673094037378,0.7288724660593056
2,Liver_0057,0.8651292947849011,0.5795819775218094,0.7223556361533552
2,Liver_0063,0.974518537904254,0.6735537190082644,0.8240361284562592
2,Liver_0071,0.9543545471337599,0.8595195622637324,0.9069370546987461
2,Liver_0072,0.9416311051029859,0.546952523093058,0.7442918140980219
2,Liver_0074,0.9280834625867956,0.36622390891840606,0.6471536857526008
2,Liver_0076,0.960187862770561,0.8365962395813142,0.8983920511759376
2,Liver_0077,0.958336614058546,0.8995667442440363,0.9289516791512911
2,Liver_0079,0.9329636353997606,0.8118983681057633,0.8724310017527619
2,Liver_0080,0.9440985668980834,0.8281241477117766,0.88611135730493
2,Liver_0082,0.9629431283513242,0.8718867924528302,0.9174149604020772
2,Liver_0094,0.9632848647440391,0.795180037697424,0.8792324512207315
2,Liver_0097,0.9123491551554496,0.6990883077127836,0.8057187314341165
2,Liver_0099,0.9695003915800584,0.9126557280285333,0.9410780598042958
2,Liver_0100,0.9791216289085638,0.7746002740977616,0.8768609515031627
2,Liver_0101,0.9744550316421132,0.8887891417020464,0.9316220866720798
2,Liver_0108,0.9132373631306241,0.3298919567827131,0.6215646599566687
2,Liver_0114,0.9622904038710937,0.5966492242724686,0.7794698140717811
2,Liver_0115,0.9259146523030909,0.0,0.46295732615154545
2,Liver_0127,0.9659487382143472,0.000777000777000777,0.48336286949567403
2,Liver_0129,0.966888828030895,0.6940729566334668,0.8304808923321809
2,Liver_0131,0.8524908573407594,0.3852787576226046,0.618884807481682
4,Liver_0001,0.965398496310091,0.6906788910718183,0.8280386936909547
4,Liver_0027,0.9739506269557724,0.8526139855866866,0.9132823062712294
4,Liver_0029,0.9403993677010417,0.865192605199953,0.9027959864504973
4,Liver_0031,0.9331119432673041,0.3008787247225821,0.6169953339949431
4,Liver_0054,0.9430792454959721,0.547604967474867,0.7453421064854195
4,Liver_0057,0.8615906786799709,0.5704021652416075,0.7159964219607892
4,Liver_0063,0.9751561960877989,0.6884381338742394,0.8317971649810192
4,Liver_0071,0.9543645079577581,0.86255565901192,0.9084600834848391
4,Liver_0072,0.9430195437203146,0.5567184723577846,0.7498690080390495
4,Liver_0074,0.928737359873712,0.3804247460757156,0.6545810529747138
4,Liver_0076,0.9603573848730184,0.830122591943958,0.8952399884084882
4,Liver_0077,0.9584710898452561,0.9014640429189453,0.9299675663821008
4,Liver_0079,0.9323343452003623,0.8057098194084495,0.8690220823044059
4,Liver_0080,0.9445556755793281,0.8316604843988654,0.8881080799890968
4,Liver_0082,0.9630814420480297,0.8701310949731208,0.9166062685105753
4,Liver_0094,0.9639178467110802,0.7966616555545818,0.8802897511328309
4,Liver_0097,0.9097971912806032,0.6977705790173692,0.8037838851489862
4,Liver_0099,0.9699046067531826,0.9137523729501708,0.9418284898516767
4,Liver_0100,0.9792034386624149,0.7819473993934182,0.8805754190279165
4,Liver_0101,0.9743433606545437,0.8910926573754774,0.9327180090150106
4,Liver_0108,0.9097365616289707,0.3197397467177878,0.6147381541733792
4,Liver_0114,0.9629517062752219,0.6109163426427602,0.7869340244589911
4,Liver_0115,0.9235987470836965,0.0,0.46179937354184825
4,Liver_0127,0.9646058160413158,0.0820839580209895,0.5233448870311527
4,Liver_0129,0.9667720612541102,0.6925003089042598,0.829636185079185
4,Liver_0131,0.8538747385365395,0.3856763663379773,0.6197755524372583
8,Liver_0001,0.9649093138681815,0.690978886756238,0.8279441003122097
8,Liver_0027,0.9735859375379129,0.8511184615247452,0.9123521995313291
8,Liver_0029,0.9393376944827206,0.8610515008056759,0.9001945976441983
8,Liver_0031,0.9300245352530823,0.3010649114357575,0.6155447233444199
8,Liver_0054,0.9444251358749256,0.560304449648712,0.7523647927618188
8,Liver_0057,0.855876763968066,0.5638634487169085,0.7098701063424873
8,Liver_0063,0.9759093356848954,0.7020440251572327,0.8389766804210641
8,Liver_0071,0.9546069940731555,0.8631068095021439,0.9088569017876498
8,Liver_0072,0.9434554544825238,0.5655109416577306,0.7544831980701272
8,Liver_0074,0.9290023111319226,0.3985032740879326,0.6637527926099276
8,Liver_0076,0.9606788467165507,0.8216026515890037,0.8911407491527772
8,Liver_0077,0.9589050088160018,0.9033908320029855,0.9311479204094937
8,Liver_0079,0.9307619963580843,0.8013840830449827,0.8660730397015335
8,Liver_0080,0.9451260590603079,0.8281662802609586,0.8866461696606333
8,Liver_0082,0.962940002105946,0.8678961234474972,0.9154180627767217
8,Liver_0094,0.9636874796957154,0.7965577431355134,0.8801226114156144
8,Liver_0097,0.9063008405040903,0.6979392273075078,0.802120033905799
